eno,dno,commune,statut,nom
1320021F,99   ,London                                            ,Public                             ,Université Paris Dauphine - Campus de Londres                                                                                                        
0542448T,54   ,Nancy                                             ,Privé sous contrat d'association  ,Lycée Claude Daunot                                                                                                                                  
0594898D,59   ,Tourcoing                                         ,Privé sous contrat d'association  ,IFSI Croix Rouge Française Tourcoing                                                                                                                 
9720003W,972  ,Fort-de-France                                    ,Public                             ,Lycée Bellevue                                                                                                                                       
0271016H,27   ,Mesnils-sur-Iton                                  ,Public                             ,Lycée agricole Edouard de Chambray                                                                                                                   
0221866J,22   ,Ploubazlanec                                      ,Privé sous contrat d'association  ,Lycée professionnel Kersa La Salle                                                                                                                   
0360017Y,36   ,Châteauroux                                      ,Public                             ,Lycée agricole de L'INDRE                                                                                                                            
0341336T,34   ,Sète                                             ,Public                             ,IFSI du CH du Bassin de Thau                                                                                                                          
0292185T,29   ,Morlaix                                           ,Public                             ,I.U.T de Brest - Site de Morlaix                                                                                                                      
9741380G,974  ,Saint-Paul                                        ,Public                             ,Lycée de St Paul 4                                                                                                                                   
0450042B,45   ,Villemandeur                                      ,Public                             ,Lycée des Métiers Durzy                                                                                                                             
0383119J,38   ,Moirans                                           ,Public                             ,Lycée Pierre Béghin                                                                                                                                 
0932019P,93   ,Noisy-le-Grand                                    ,Privé sous contrat d'association  ,ESIEE Paris                                                                                                                                           
0382099A,38   ,Sassenage                                         ,Public                             ,Lycée Roger Deschaux                                                                                                                                 
0150634H,15   ,Aurillac                                          ,Public                             ,IFSI CH Aurillac                                                                                                                                      
0601863Z,60   ,Compiègne                                        ,Public                             ,Lycée CHARLES DE GAULLE                                                                                                                              
0530816Z,53   ,Evron                                             ,Privé sous contrat d'association  ,Lycée agricole D'Orion                                                                                                                               
0670186N,67   ,Strasbourg                                        ,Public                             ,Ecole Nationale Supérieure d'Architecture de Strasbourg                                                                                              
0931806H,93   ,Saint-Denis                                       ,Public                             ,IFSI CH de Saint-Denis                                                                                                                                
0501893L,50   ,Cherbourg-en-Cotentin                             ,Public                             ,IUT GRAND OUEST NORMANDIE - Pôle de Cherbourg - Site de Cherbourg-en-Cotentin                                                                        
0530010Y,53   ,Laval                                             ,Public                             ,Lycée Ambroise Pare                                                                                                                                  
0920138A,92   ,Courbevoie                                        ,Public                             ,Lycée Paul Lapie                                                                                                                                     
0790964U,79   ,Niort                                             ,Public                             ,Lycée professionnel Thomas-Jean Main                                                                                                                 
0781627V,78   ,Mantes-la-Jolie                                   ,Privé sous contrat d'association  ,IFSI Croix Rouge Française Mantes La Jolie                                                                                                           
0341921D,34   ,Castelnau-le-Lez                                  ,Public                             ,Lycée Georges Pompidou                                                                                                                               
0421822C,42   ,Montbrison                                        ,Public                             ,IFSI CH du Forez                                                                                                                                      
0142084P,14   ,Caen                                              ,Privé sous contrat d'association  ,Lycée Notre Dame De Fidélité                                                                                                                       
0770918E,77   ,Avon                                              ,Public                             ,Lycée Uruguay France                                                                                                                                 
0942340H,94   ,Cachan                                            ,Privé enseignement supérieur     ,ESTP Paris                                                                                                                                            
0922277A,92   ,Villeneuve-la-Garenne                             ,Public                             ,Lycée Charles Petiet                                                                                                                                 
0141796B,14   ,Hérouville-Saint-Clair                           ,Public                             ,Lycée Salvador Allende                                                                                                                               
0131398Z,13   ,Marseille  6e  Arrondissement                     ,Privé sous contrat d'association  ,Lycée Maximilien de Sully                                                                                                                            
0941301D,94   ,Fresnes                                           ,Public                             ,Lycée Frederic Mistral                                                                                                                               
0132410Z,13   ,Marignane                                         ,Public                             ,Lycée Maurice Genevoix                                                                                                                               
0660570L,66   ,Perpignan                                         ,Public                             ,IFSI CH Perpignan                                                                                                                                     
0370053G,37   ,Tours                                             ,Public                             ,Lycée professionnel Gustave Eiffel                                                                                                                   
0460697H,46   ,Figeac                                            ,Public                             ,I.U.T de Figeac                                                                                                                                       
0941413A,94   ,Créteil                                          ,Public                             ,Lycée Leon Blum                                                                                                                                      
0596011N,59   ,Lille                                             ,Privé enseignement supérieur     ,ICL - ISTC                                                                                                                                            
0701052N,70   ,Vesoul                                            ,Public                             ,Lycée Les Haberges                                                                                                                                   
0624064F,62   ,Arras                                             ,Privé sous contrat d'association  ,AFERTES                                                                                                                                               
0781845G,78   ,Conflans-Sainte-Honorine                          ,Public                             ,Lycée Jules Ferry                                                                                                                                    
0440256P,44   ,Saint-Sébastien-sur-Loire                        ,Privé sous contrat d'association  ,Lycée St Pierre La Joliverie                                                                                                                         
0352087D,35   ,Rennes                                            ,Public                             ,IFSI CH Guillaume Régnier                                                                                                                            
0382440W,38   ,Villefontaine                                     ,Public                             ,Lycée des Métiers - Léonard de Vinci                                                                                                               
0080057U,8    ,Charleville-Mézières                            ,Public                             ,INSPE de Reims - Antenne de Charleville-Mézières                                                                                                    
0690129R,69   ,Oullins                                           ,Public                             ,Lycée professionnel Edmond Labbe                                                                                                                     
0062104E,6    ,Nice                                              ,Privé enseignement supérieur     ,CESI Campus de Nice                                                                                                                                   
0350769W,35   ,Fougères                                         ,Privé sous contrat d'association  ,Lycée Jean Baptiste Le Taillandier                                                                                                                   
0540081V,54   ,Nancy                                             ,Public                             ,Lycée professionnel Jean Prouve                                                                                                                      
0311145B,31   ,Toulouse                                          ,Privé sous contrat d'association  ,Lycée Saint-Joseph                                                                                                                                   
0941890U,94   ,Ivry-sur-Seine                                    ,Privé enseignement supérieur     ,ESIEA Paris                                                                                                                                           
0160020K,16   ,Cognac                                            ,Public                             ,Lycée Jean Monnet                                                                                                                                    
0150008C,15   ,Aurillac                                          ,Public                             ,Lycée professionnel Raymond Cortat                                                                                                                   
0650025Z,65   ,Tarbes                                            ,Public                             ,Lycée Théophile Gautier                                                                                                                             
