eno,dno,commune,statut,nom
0601223D,60   ,Compiègne                                        ,Public                             ,UTC Université de Technologie de Compiègne                                                                                                          
0360009P,36   ,Châteauroux                                      ,Public                             ,Lycée Pierre Et Marie Curie                                                                                                                          
0641547J,64   ,Saint-Pée-sur-Nivelle                            ,Privé sous contrat d'association  ,Lycée professionnel Agricole Saint Christophe                                                                                                        
0310039Z,31   ,Toulouse                                          ,Public                             ,Lycée Marcelin Berthelot                                                                                                                             
0921981D,92   ,Suresnes                                          ,Privé sous contrat d'association  ,IFSI de l'Hôpital Foch                                                                                                                               
0060670W,6    ,Cannes                                            ,Privé sous contrat d'association  ,Institut Sainte Marie de Chavagnes                                                                                                                    
0530934C,53   ,Laval                                             ,Public                             ,Université du Mans - Campus de Laval                                                                                                                 
0750662M,75   ,Paris  7e  Arrondissement                         ,Public                             ,Lycée Victor Duruy                                                                                                                                   
1340045W,99   ,Madrid                                            ,Public                             ,Université Paris Dauphine - Campus de Madrid                                                                                                         
0261067U,26   ,Châteauneuf-de-Galaure                           ,Privé sous contrat d'association  ,Lycée agricole LES MANDAILLES                                                                                                                        
0801841S,80   ,Amiens                                            ,Public                             ,Lycée Robert de Luzarches                                                                                                                            
0080007P,8    ,Charleville-Mézières                            ,Public                             ,Lycée Sevigne                                                                                                                                        
0753915Y,75   ,Paris 15e  Arrondissement                         ,Privé sous contrat d'association  ,Lycée Blomet                                                                                                                                         
0071126L,7    ,Annonay                                           ,Privé sous contrat d'association  ,Institut Supérieur Saint-Denis                                                                                                                       
0762911B,76   ,Franqueville-Saint-Pierre                         ,Public                             ,Lycée Galilée                                                                                                                                       
0030947N,3    ,Moulins                                           ,Privé sous contrat d'association  ,Institut du Travail Social de la Croix-Rouge française - Moulins                                                                                     
0801613U,80   ,Corbie                                            ,Privé sous contrat d'association  ,Lycée Sainte Colette                                                                                                                                 
0381516S,38   ,Saint-Martin-d'Hères                             ,Public                             ,IUT 1 GRENOBLE                                                                                                                                        
0940138P,94   ,Orly                                              ,Public                             ,Lycée professionnel Armand Guillaumin                                                                                                                
0280036M,28   ,Nogent-le-Rotrou                                  ,Public                             ,Lycée Remi Belleau                                                                                                                                   
0810833R,81   ,Verdalle                                          ,Privé sous contrat d'association  ,Lycée agricole privé de Touscayrats                                                                                                                 
0380141X,38   ,Grenoble                                          ,Public                             ,Ecole Nationale Supérieure d'Architecture de Grenoble                                                                                                
0830042V,83   ,Saint-Raphaël                                    ,Public                             ,Lycée Antoine De Saint Exupery                                                                                                                       
0132276D,13   ,Istres                                            ,Public                             ,Lycée professionnel Pierre Latecoere                                                                                                                 
0752139T,75   ,Paris 14e  Arrondissement                         ,Privé enseignement supérieur     ,IPC-Facultés Libres de Philosophie et de Psycholog                                                                                                   
0772797X,77   ,Lieusaint                                         ,Privé enseignement supérieur     ,ICAM Paris Sénart                                                                                                                                    
0590111A,59   ,Lille                                             ,Public                             ,Lycée professionnel Sonia Delaunay                                                                                                                   
0440178E,44   ,Saint-Nazaire                                     ,Privé sous contrat d'association  ,Lycée général et technologique Notre-Dame d'Espérance                                                                                             
0061887U,6    ,Menton                                            ,Public                             ,I.U.T de Nice - Antenne de Menton                                                                                                                     
0600014P,60   ,Compiègne                                        ,Public                             ,Lycée Pierre d'Ailly                                                                                                                                 
0782075G,78   ,Versailles                                        ,Public                             ,Unité de Formation et de Recherche de Sciences de l' Université de Versailles Saint Quentin en Yvelines                                             
0600040T,60   ,Noyon                                             ,Public                             ,Lycée Jean Calvin                                                                                                                                    
0130172S,13   ,Marseille  7e  Arrondissement                     ,Public                             ,Lycée professionnel Leonard De Vinci                                                                                                                 
0490838V,49   ,Saumur                                            ,Privé sous contrat d'association  ,Lycée Saint-Louis                                                                                                                                    
0620052V,62   ,Boulogne-sur-Mer                                  ,Public                             ,Lycée Edouard Branly                                                                                                                                 
0940123Y,94   ,Thiais                                            ,Public                             ,Lycée Guillaume Apollinaire                                                                                                                          
0290128G,29   ,Brest                                             ,Public                             ,Unité de Formation et de Recherche en Médecine Université de Bretagne Occidentale                                                                  
0850076W,85   ,Les Herbiers                                      ,Privé sous contrat d'association  ,Lycée général et technologique privé Jean XXIII                                                                                                   
9730364H,973  ,Macouria                                          ,Public                             ,Lycée d'Enseignement Général et Technologique Agricole de MACOURIA                                                                                 
0754025T,75   ,Paris  6e  Arrondissement                         ,Privé sous contrat d'association  ,Lycée Saint-Nicolas                                                                                                                                  
0132733A,13   ,Marseille 13e  Arrondissement                     ,Public                             ,Lycée Antonin Artaud                                                                                                                                 
0931193S,93   ,Tremblay-en-France                                ,Public                             ,Lycée professionnel Helene Boucher                                                                                                                   
0170031S,17   ,La Rochelle                                       ,Public                             ,Lycée professionnel Pierre Doriole                                                                                                                   
0090022A,9    ,Pamiers                                           ,Public                             ,L.E.G.T.A. de Pamiers                                                                                                                                 
0800010B,80   ,Amiens                                            ,Public                             ,Lycée Madeleine Michelis                                                                                                                             
0530012A,53   ,Laval                                             ,Public                             ,LGT Réaumur - Lycée des métiers                                                                                                                    
0942144V,94   ,Ivry-sur-Seine                                    ,Privé enseignement supérieur     ,IPSA Paris                                                                                                                                            
0932026X,93   ,Clichy-sous-Bois                                  ,Public                             ,Lycée Alfred Nobel                                                                                                                                   
0431000D,43   ,Vals-près-le-Puy                                 ,Privé sous contrat d'association  ,ISVT                                                                                                                                                  
0750802P,75   ,Paris 19e  Arrondissement                         ,Public                             ,Lycée professionnel Hector Guimard                                                                                                                   
0631070W,63   ,Chamalières                                      ,Privé sous contrat d'association  ,Lycée Sainte Thecle                                                                                                                                  
9740082W,974  ,Saint-Denis                                       ,Public                             ,Lycée professionnel Rontaunay                                                                                                                        
0130157A,13   ,Saint-Chamas                                      ,Public                             ,Lycée professionnel Ferrages (Quartier Les)                                                                                                          
0692717D,69   ,Vénissieux                                       ,Public                             ,Lycée Jacques Brel                                                                                                                                   
0450040Z,45   ,Montargis                                         ,Public                             ,Lycée En Foret                                                                                                                                       
0752304X,75   ,Paris 10e  Arrondissement                         ,Privé enseignement supérieur     ,ISTEC - Ecole Supérieure de Commerce et de Marketing                                                                                                 
0133648V,13   ,La Ciotat                                         ,Public                             ,IUT Aix-Marseille - Site de la Ciotat                                                                                                                 
0030877M,3    ,Montluçon                                        ,Public                             ,IFSI CH Montluçon                                                                                                                                    
0160980D,16   ,Ruffec                                            ,Privé sous contrat d'association  ,Lycée Privé Polyvalent Roc Fleuri                                                                                                                   
0212022J,21   ,Dijon                                             ,Privé enseignement supérieur     ,CENTRE UNIVERSITAIRE CATHOLIQUE                                                                                                                       
0332931G,33   ,Talence                                           ,Public                             ,CPBx (ENSEGID)                                                                                                                                        
0711067Z,71   ,Davayé                                           ,Public                             ,Lycée agricole Macon-Davaye                                                                                                                          
0310041B,31   ,Toulouse                                          ,Public                             ,Lycée Saint-Sernin                                                                                                                                   
0210019G,21   ,Dijon                                             ,Public                             ,Lycée Le Castel                                                                                                                                      
0631068U,63   ,Clermont-Ferrand                                  ,Privé sous contrat d'association  ,Lycée Godefroy De Bouillon                                                                                                                           
0342380C,34   ,Mauguio                                           ,Privé enseignement supérieur     ,"TRAVELLING, École Supérieure du Cinéma et de la Télévision                                                                                       "
0542493S,54   ,Nancy                                             ,Public                             ,Université de Lorraine - Site de Nancy                                                                                                               
0512185Y,51   ,Reims                                             ,Privé enseignement supérieur     ,ICP - Antenne de Reims                                                                                                                                
0671609K,67   ,Strasbourg                                        ,Privé sous contrat d'association  ,Collège Episcopal St Etienne                                                                                                                         
0930830X,93   ,Le Raincy                                         ,Public                             ,Lycée Albert Schweitzer                                                                                                                              
0241137F,24   ,Périgueux                                        ,Public                             ,Lycée Jay De Beaufort                                                                                                                                
9741206T,974  ,Saint-Pierre                                      ,Public                             ,Lycée de Bois d'Olive                                                                                                                                
0312269Y,31   ,Blagnac                                           ,Privé enseignement supérieur     ,ICD International Business School - Campus de Toulouse                                                                                                
0721684P,72   ,Le Mans                                           ,Privé sous contrat d'association  ,Lycée Polyvalent Saint-Charles Sainte-Croix                                                                                                          
7200583W,2B   ,Bastia                                            ,Public                             ,Lycée Paul Vincensini                                                                                                                                
0772120L,77   ,Torcy                                             ,Public                             ,Lycée Jean Moulin                                                                                                                                    
0750652B,75   ,Paris  4e  Arrondissement                         ,Public                             ,Lycée Charlemagne                                                                                                                                    
0597098V,59   ,Maubeuge                                          ,Privé enseignement supérieur     ,Institut Social de Lille - Antenne de Maubeuge                                                                                                        
0720083Z,72   ,Le Mans                                           ,Public                             ,I.U.T. Le Mans                                                                                                                                        
0062015H,6    ,Valbonne                                          ,Public                             ,Lycée Simone Veil                                                                                                                                    
0060914L,6    ,Nice                                              ,Public                             ,I.U.T Nice-Côte d'Azur                                                                                                                               
0951811C,95   ,Argenteuil                                        ,Public                             ,Lycée F. Et N. Leger                                                                                                                                 
0922874Z,92   ,Sceaux                                            ,Public                             ,"Université Paris-Saclay, Campus de Sceaux                                                                                                            "
0641927X,64   ,Ustaritz                                          ,Privé sous contrat d'association  ,ETCHARRY FORMATION DEVELOPPEMENT - AFMR                                                                                                               
0500101N,50   ,Cherbourg-en-Cotentin                             ,Public                             ,Centre Régional associé au CNAM de Normandie                                                                                                        
0950650R,95   ,Sarcelles                                         ,Public                             ,Lycée Jean-Jacques Rousseau                                                                                                                          
0301237G,30   ,Nîmes                                            ,Public                             ,IFSI CHU Nimes                                                                                                                                        
0801344B,80   ,Amiens                                            ,Public                             ,Université d'Amiens                                                                                                                                  
0440288Z,44   ,Nantes                                            ,Public                             ,Lycée général et technologique Albert Camus                                                                                                        
0870004G,87   ,Bellac                                            ,Public                             ,Lycée professionnel Martin Nadaud                                                                                                                    
0480025S,48   ,Mende                                             ,Privé sous contrat d'association  ,Lycée polyvalent Notre-Dame                                                                                                                          
0132972K,13   ,Marseille                                         ,Public                             ,ECOLE MANIPULATEURS RADIOLOGIE ASSISTANCE PUBLIQUE (DE L')                                                                                            
0930974D,93   ,Villemomble                                       ,Privé sous contrat d'association  ,Lycée St Louis Blanche De Castille                                                                                                                   
0371347N,37   ,Amboise                                           ,Public                             ,IFSI CH Amboise                                                                                                                                       
0441623A,44   ,Saint-Nazaire                                     ,Public                             ,IFSI CH de Saint-Nazaire                                                                                                                              
0442095N,44   ,Basse-Goulaine                                    ,Public                             ,LGT La Herdrie                                                                                                                                        
0500036T,50   ,Granville                                         ,Public                             ,Lycée Julliot De La Morandiere                                                                                                                       
0670057Y,67   ,Saverne                                           ,Public                             ,Lycée General Leclerc                                                                                                                                
0590344D,59   ,Lille                                             ,Privé enseignement supérieur     ,INSTITUT CATHOLIQUE LILLE                                                                                                                             
0753021B,75   ,Paris 13e  Arrondissement                         ,Public                             ,IFSI Pitié Salpetrière (AP-HP)                                                                                                                      
0570099Y,57   ,Sarreguemines                                     ,Public                             ,Lycée Henri Nominé                                                                                                                                  
0161192J,16   ,La Couronne                                       ,Privé enseignement supérieur     ,CESI Campus d-Angoulême (La couronne)                                                                                                                
0311092U,31   ,Colomiers                                         ,Public                             ,Lycée professionnel des Métiers Eugene MONTEL                                                                                                       
0700018P,70   ,Lure                                              ,Public                             ,Lycée Georges Colomb                                                                                                                                 
0170028N,17   ,La Rochelle                                       ,Public                             ,Lycée Jean Dautet                                                                                                                                    
0470884F,47   ,Agen                                              ,Public                             ,Université Bordeaux Montaigne - Antenne d'Agen                                                                                                       
0630069H,63   ,Thiers                                            ,Public                             ,Lycée Jean Zay                                                                                                                                       
6200002H,2A   ,Ajaccio                                           ,Public                             ,Lycée Laetitia Bonaparte                                                                                                                             
0520021R,52   ,Langres                                           ,Public                             ,Lycée Diderot                                                                                                                                        
0451462V,45   ,Saint-Jean-de-Braye                               ,Public                             ,Lycée Jacques Monod                                                                                                                                  
0721575W,72   ,Le Mans                                           ,Public                             ,ESGT Le Mans                                                                                                                                          
0690040U,69   ,Lyon 7e  Arrondissement                           ,Public                             ,Lycée Hector Guimard                                                                                                                                 
0010060K,1    ,Bourg-en-Bresse                                   ,Public                             ,IFSI CH Fleyriat                                                                                                                                      
0590347G,59   ,Lille                                             ,Privé sous contrat d'association  ,ISEN Lille                                                                                                                                            
0930116W,93   ,Aubervilliers                                     ,Public                             ,Lycée Henri Wallon                                                                                                                                   
0400004M,40   ,Capbreton                                         ,Public                             ,Lycée des métiers de l'hôtellerie et du commerce Louis Darmante                                                                                    
0640096G,64   ,Pau                                               ,Privé enseignement supérieur     ,Bachelor ESC PAU                                                                                                                                      
0690192J,69   ,Villeurbanne                                      ,Public                             ,INSA Lyon                                                                                                                                             
0772229E,77   ,Meaux                                             ,Public                             ,Lycée Jean VILAR                                                                                                                                     
0171428K,17   ,Bourcefranc-le-Chapus                             ,Public                             ,Lycée de la mer et du littoral                                                                                                                       
0750612H,75   ,Paris 15e  Arrondissement                         ,Public                             ,ECOLE NATIONALE SUPERIEURE A.A-MET.D'ART.                                                                                                             
0754029X,75   ,Paris  6e  Arrondissement                         ,Privé sous contrat d'association  ,Lycée Carcado Saisseval                                                                                                                              
0570140T,57   ,Metz                                              ,Public                             ,ENIM Metz                                                                                                                                             
0753030L,75   ,Paris 12e  Arrondissement                         ,Privé sous contrat d'association  ,IFSI Diaconesses Reuilly                                                                                                                              
0800001S,80   ,Abbeville                                         ,Public                             ,Lycée Boucher De Perthes                                                                                                                             
0371197A,37   ,Chambray-lès-Tours                               ,Privé sous contrat d'association  ,IFSI Croix Rouge Française Chambray Les Tours                                                                                                        
0870040W,87   ,Saint-Junien                                      ,Public                             ,Lycée Paul Eluard                                                                                                                                    
0632035V,63   ,Clermont-Ferrand                                  ,Public                             ,Université Clermont Auvergne                                                                                                                         
0623845T,62   ,Saint-Venant                                      ,Public                             ,IFSI Campus des Métiers de la Santé - Val de Lys Artois                                                                                             
0940609B,94   ,Cachan                                            ,Public                             ,IUT de Cachan Université Paris-Saclay                                                                                                                
0720825F,72   ,Le Mans                                           ,Privé sous contrat d'association  ,Lycée professionnel Joseph Roussel                                                                                                                   
0910715H,91   ,Longjumeau                                        ,Public                             ,Lycée professionnel Jean Perrin                                                                                                                      
0772277G,77   ,Nangis                                            ,Public                             ,Lycée Henri Becquerel                                                                                                                                
0840218F,84   ,Orange                                            ,Public                             ,Lycée professionnel agricole Viticole                                                                                                                
0180585N,18   ,Le Subdray                                        ,Public                             ,Lycée agricole de BOURGES                                                                                                                            
0932268K,93   ,Aubervilliers                                     ,Public                             ,Institut National du Patrimoine (département des restaurateurs)                                                                                      
0401016M,40   ,Dax                                               ,Privé sous contrat d'association  ,Lycée Saint-Jacques-de-Compostelle                                                                                                                   
9741185V,974  ,Sainte-Marie                                      ,Public                             ,Lycée Le Verger                                                                                                                                      
0660011D,66   ,Perpignan                                         ,Public                             ,Lycée Jean Lurcat                                                                                                                                    
0750656F,75   ,Paris  5e  Arrondissement                         ,Public                             ,Lycée Lavoisier                                                                                                                                      
0290098Z,29   ,Quimper                                           ,Public                             ,Lycée de Cornouaille                                                                                                                                 
0932059H,93   ,Villetaneuse                                      ,Public                             ,Sup Galilée Paris                                                                                                                                    
0641459N,64   ,Bayonne                                           ,Public                             ,IFSI CH de Bayonne                                                                                                                                    
0383384X,38   ,Gières                                           ,Privé enseignement supérieur     ,Bachelor IDRAC Business School - Campus de GRENOBLE                                                                                                   
0071445H,7    ,Vallon-Pont-d'Arc                                 ,Public                             ,"Centre de Ressources, d-Expertise et de Performance Sportive d-Auvergne Rhône-Alpes Vallon-Pont-d'Arc (CREPS)                                        "
0921625S,92   ,Courbevoie                                        ,Public                             ,Lycée professionnel Paul Painleve                                                                                                                    
0300930Y,30   ,Nîmes                                            ,Public                             ,I.U.T de Nîmes                                                                                                                                       
0022184N,2    ,Château-Thierry                                  ,Public                             ,Institut de Formation en Soins Infirmiers - CHATEAU-THIERRY                                                                                           
0212108C,21   ,Dijon                                             ,Public                             ,ESIREM Dijon                                                                                                                                          
0511026N,51   ,Reims                                             ,Public                             ,Institut Universitaire de Technologie de Reims                                                                                                        
9840341Y,987  ,Mahina                                            ,Public                             ,Lycée professionnel de Mahina                                                                                                                        
0352967K,35   ,Bruz                                              ,Privé hors contrat                ,Ecole supérieure de cuisine Ferrandi - Site de Rennes                                                                                                
0593395V,59   ,Lille                                             ,Public                             ,Lycée agricole et horticole de Lomme                                                                                                                 
9730526J,973  ,Cayenne                                           ,Privé hors contrat                ,PROJET PROFESSIONNEL PLUS                                                                                                                             
0631480S,63   ,Pont-du-Château                                  ,Public                             ,Lycée professionnel Pierre Boulanger                                                                                                                 
0690026D,69   ,Lyon 6e  Arrondissement                           ,Public                             ,Lycée du Parc                                                                                                                                        
0820752X,82   ,Montauban                                         ,Public                             ,IFSI CH Montauban                                                                                                                                     
0753620C,75   ,Paris 16e  Arrondissement                         ,Privé enseignement supérieur     ,ISG Paris                                                                                                                                             
0751875F,75   ,Paris 19e  Arrondissement                         ,Public                             ,Ecole Nationale Supérieure d'Architecture de Paris-La Villette                                                                                       
0951399E,95   ,Cergy                                             ,Public                             ,Lycée Alfred Kastler                                                                                                                                 
0950651S,95   ,Taverny                                           ,Public                             ,Lycée Jacques Prevert                                                                                                                                
0870748R,87   ,Limoges                                           ,Public                             ,Lycée professionnel Le Mas Jambost                                                                                                                   
0351603R,35   ,Rennes                                            ,Privé enseignement supérieur     ,ASKORIA - site de Rennes                                                                                                                              
0511572G,51   ,Reims                                             ,Public                             ,IFSI Reims                                                                                                                                            
0741418P,74   ,Annecy                                            ,Public                             ,Lycée Charles Baudelaire                                                                                                                             
0132246A,13   ,Aix-en-Provence                                   ,Privé sous contrat d'association  ,ESAIP Aix-en-Provence                                                                                                                                 
0141112H,14   ,Saint-Pierre-en-Auge                              ,Public                             ,Lycée agricole Le Robillard                                                                                                                          
9711151Z,971  ,Saint-Claude                                      ,Public                             ,Université des Antilles - Pôle Guadeloupe (Saint-Claude)                                                                                            
0850079Z,85   ,Pouzauges                                         ,Privé sous contrat d'association  ,Lycée N D De La Tourteliere                                                                                                                          
0940118T,94   ,Nogent-sur-Marne                                  ,Public                             ,Lycée Louis Armand                                                                                                                                   
0580014A,58   ,Cosne-Cours-sur-Loire                             ,Public                             ,Lycée Pierre Gilles de Gennes                                                                                                                        
0070021K,7    ,Privas                                            ,Public                             ,Lycée Vincent d'Indy                                                                                                                                 
0060020P,6    ,Grasse                                            ,Public                             ,Lycée Amiral De Grasse                                                                                                                               
0570210U,57   ,Peltre                                            ,Privé sous contrat d'association  ,Lycée Notre Dame                                                                                                                                     
0341699M,34   ,Sète                                             ,Public                             ,Lycée professionnel maritime Paul Bousquet                                                                                                           
0870041X,87   ,Saint-Junien                                      ,Public                             ,Lycée professionnel Edouard Vaillant                                                                                                                 
0540082W,54   ,Nancy                                             ,Public                             ,Lycée professionnel Paul Louis Cyfflé                                                                                                               
0593255T,59   ,Douai                                             ,Public                             ,"Lycée de la Nature et des Biotechnologies, Douai Bio Tech'                                                                                           "
