fno,selectivite,filiere
10596,formation sélective                              ,BTS - Services                                                                                                                                        
11687,formation sélective                              ,Classe préparatoire littéraire                                                                                                                      
16116,formation sélective                              ,Classe préparatoire aux études supérieures                                                                                                         
21021,formation sélective                              ,C.M.I - Cursus Master en Ingénierie                                                                                                                  
3584,formation sélective                              ,BUT - Production                                                                                                                                      
10886,formation sélective                              ,BTS - Services                                                                                                                                        
6520,formation sélective                              ,BTS - Services                                                                                                                                        
5292,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
4947,formation sélective                              ,BTS - Services                                                                                                                                        
21979,formation sélective                              ,DN MADE                                                                                                                                               
7371,formation sélective                              ,BTS - Production                                                                                                                                      
15857,formation sélective                              ,BTS - Services                                                                                                                                        
32666,formation sélective                              ,Diplôme d'Université                                                                                                                                
28051,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
3794,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
24315,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
6427,formation sélective                              ,BTS - Production                                                                                                                                      
33917,formation sélective                              ,Diplôme d'Université                                                                                                                                
26445,formation sélective                              ,Formation des écoles supérieure d'art                                                                                                               
23393,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
13422,formation sélective                              ,BTS - Services                                                                                                                                        
10717,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
2059,formation sélective                              ,BTS - Services                                                                                                                                        
2154,formation sélective                              ,BUT - Service                                                                                                                                         
17378,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
7599,formation sélective                              ,BUT - Production                                                                                                                                      
25848,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
2295,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
10945,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
7129,formation sélective                              ,BUT - Service                                                                                                                                         
31365,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
27734,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
9807,formation sélective                              ,BTS - Services                                                                                                                                        
3325,formation sélective                              ,BTS - Production                                                                                                                                      
9217,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
4513,formation sélective                              ,BTS - Services                                                                                                                                        
20836,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
6649,formation sélective                              ,BTS - Production                                                                                                                                      
7558,formation sélective                              ,BTS - Services                                                                                                                                        
6535,formation sélective                              ,BTS - Services                                                                                                                                        
23233,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
3811,formation sélective                              ,BTS - Services                                                                                                                                        
24771,formation sélective                              ,Mention complémentaire                                                                                                                               
24140,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
28393,formation sélective                              ,D.E secteur social                                                                                                                                    
33520,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
11384,formation sélective                              ,BTS - Production                                                                                                                                      
25825,formation sélective                              ,Sciences politiques                                                                                                                                   
4107,formation sélective                              ,BTS - Services                                                                                                                                        
2218,formation sélective                              ,BTS - Services                                                                                                                                        
21239,formation sélective                              ,BTS - Production                                                                                                                                      
8744,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
9839,formation sélective                              ,BTS - Agricole                                                                                                                                        
31854,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
26118,formation sélective                              ,Formation des écoles de commerce et de management                                                                                                    
33449,formation sélective                              ,Diplôme d'Université                                                                                                                                
9571,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
23226,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
7903,formation sélective                              ,BTS - Services                                                                                                                                        
5687,formation sélective                              ,BTS - Services                                                                                                                                        
29425,formation sélective                              ,BTS - Production                                                                                                                                      
16817,formation sélective                              ,BTS - Services                                                                                                                                        
9842,formation sélective                              ,BTS - Services                                                                                                                                        
25210,formation sélective                              ,D.E secteur social                                                                                                                                    
10817,formation sélective                              ,BTS - Services                                                                                                                                        
6939,formation sélective                              ,BTS - Services                                                                                                                                        
3740,formation sélective                              ,BTS - Production                                                                                                                                      
31294,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
26838,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
24721,formation sélective                              ,DN MADE                                                                                                                                               
8324,formation sélective                              ,BTS - Services                                                                                                                                        
20980,formation sélective                              ,BTS - Production                                                                                                                                      
24241,formation sélective                              ,DN MADE                                                                                                                                               
6014,formation sélective                              ,BTS - Services                                                                                                                                        
2610,formation sélective                              ,BTS - Services                                                                                                                                        
2627,formation sélective                              ,BTS - Services                                                                                                                                        
4033,formation sélective                              ,BTS - Production                                                                                                                                      
13367,formation sélective                              ,Mention complémentaire                                                                                                                               
10408,formation sélective                              ,BTS - Production                                                                                                                                      
5911,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
27355,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
10491,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
8536,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
28458,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
12048,formation sélective                              ,Formation des écoles de commerce et de management                                                                                                    
5343,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
29110,formation sélective                              ,Formation des écoles de commerce et de management                                                                                                    
3617,formation sélective                              ,BTS - Services                                                                                                                                        
5070,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
12269,formation sélective                              ,BTS - Production                                                                                                                                      
9829,formation sélective                              ,BTS - Services                                                                                                                                        
4769,formation sélective                              ,BTS - Services                                                                                                                                        
10980,formation sélective                              ,BTS - Services                                                                                                                                        
10937,formation sélective                              ,BTS - Services                                                                                                                                        
5680,formation sélective                              ,BTS - Agricole                                                                                                                                        
17735,formation sélective                              ,BTS - Production                                                                                                                                      
7385,formation sélective                              ,BTS - Services                                                                                                                                        
11618,formation sélective                              ,BUT - Production                                                                                                                                      
28239,formation sélective                              ,BTS - Services                                                                                                                                        
18560,formation sélective                              ,Licence - Droit-économie-gestion                                                                                                                     
3850,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
11070,formation sélective                              ,BTS - Services                                                                                                                                        
28722,formation sélective                              ,DN MADE                                                                                                                                               
24141,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
9104,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
8191,formation sélective                              ,BTS - Services                                                                                                                                        
20143,formation sélective                              ,BTS - Services                                                                                                                                        
3755,formation sélective                              ,BTS - Services                                                                                                                                        
7111,formation sélective                              ,BUT - Service                                                                                                                                         
27136,formation sélective                              ,BPJEPS                                                                                                                                                
11175,formation sélective                              ,BTS - Services                                                                                                                                        
11434,formation sélective                              ,DCG                                                                                                                                                   
28082,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
3478,formation sélective                              ,BTS - Production                                                                                                                                      
9360,formation sélective                              ,Licence - Sciences humaines et sociales                                                                                                               
6381,formation sélective                              ,BTS - Agricole                                                                                                                                        
25246,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
7095,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
31465,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
27724,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
34182,formation sélective                              ,Mention complémentaire                                                                                                                               
3574,formation sélective                              ,BTS - Production                                                                                                                                      
7151,formation sélective                              ,BTS - Production                                                                                                                                      
17417,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
11257,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
3241,formation sélective                              ,BUT - Service                                                                                                                                         
20022,formation sélective                              ,BUT - Service                                                                                                                                         
12535,formation sélective                              ,Licence - Arts-lettres-langues                                                                                                                        
10855,formation sélective                              ,BTS - Services                                                                                                                                        
6324,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
6462,formation sélective                              ,BTS - Services                                                                                                                                        
19820,formation sélective                              ,BTS - Production                                                                                                                                      
16143,formation sélective                              ,BTS - Production                                                                                                                                      
14602,formation sélective                              ,BTS - Agricole                                                                                                                                        
35029,formation sélective                              ,Mention complémentaire                                                                                                                               
8658,formation sélective                              ,BTS - Services                                                                                                                                        
9442,formation sélective                              ,BTS - Production                                                                                                                                      
8741,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
24870,formation sélective                              ,D.E secteur social                                                                                                                                    
17969,formation sélective                              ,Mention complémentaire                                                                                                                               
5799,formation sélective                              ,BTS - Services                                                                                                                                        
11068,formation sélective                              ,BTS - Production                                                                                                                                      
10507,formation sélective                              ,BTS - Production                                                                                                                                      
23412,formation sélective                              ,BTS - Production                                                                                                                                      
12008,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
2161,formation sélective                              ,BTS - Services                                                                                                                                        
7523,formation sélective                              ,BUT - Service                                                                                                                                         
14630,formation sélective                              ,BTS - Services                                                                                                                                        
3227,formation sélective                              ,DCG                                                                                                                                                   
11198,formation sélective                              ,BTS - Services                                                                                                                                        
24970,formation sélective                              ,D.E secteur social                                                                                                                                    
24344,formation sélective                              ,DN MADE                                                                                                                                               
21543,formation sélective                              ,DN MADE                                                                                                                                               
2250,formation sélective                              ,BUT - Production                                                                                                                                      
18011,formation sélective                              ,BTS - Services                                                                                                                                        
25007,formation sélective                              ,D.E secteur social                                                                                                                                    
22913,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
4636,formation sélective                              ,BTS - Services                                                                                                                                        
29807,formation sélective                              ,Formations Bac + 5                                                                                                                                    
4334,formation sélective                              ,BUT - Service                                                                                                                                         
23801,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
32223,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
31239,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
21537,formation sélective                              ,DN MADE                                                                                                                                               
505,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
8689,formation sélective                              ,BTS - Services                                                                                                                                        
29305,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
31460,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
5928,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
11228,formation sélective                              ,BUT - Service                                                                                                                                         
30832,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
13714,formation sélective                              ,Licence - Droit-économie-gestion                                                                                                                     
2989,formation sélective                              ,BTS - Services                                                                                                                                        
11204,formation sélective                              ,Classe préparatoire littéraire                                                                                                                      
9852,formation sélective                              ,BTS - Services                                                                                                                                        
8311,formation sélective                              ,DCG                                                                                                                                                   
6244,formation sélective                              ,BTS - Services                                                                                                                                        
5866,formation sélective                              ,BUT - Production                                                                                                                                      
9667,formation sélective                              ,Année préparatoire                                                                                                                                  
23759,formation sélective                              ,D.E secteur social                                                                                                                                    
21092,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
26660,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
31109,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
23879,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
7968,formation sélective                              ,BUT - Production                                                                                                                                      
20896,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
25735,formation sélective                              ,Diplôme d'Université                                                                                                                                
18026,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
6665,formation sélective                              ,BUT - Service                                                                                                                                         
8187,formation sélective                              ,Classe préparatoire littéraire                                                                                                                      
4279,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
33508,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
25134,formation sélective                              ,DN MADE                                                                                                                                               
7471,formation sélective                              ,BTS - Agricole                                                                                                                                        
5204,formation sélective                              ,BTS - Production                                                                                                                                      
5897,formation sélective                              ,BTS - Production                                                                                                                                      
19994,formation sélective                              ,BTS - Services                                                                                                                                        
20488,formation sélective                              ,BTS - Production                                                                                                                                      
10202,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
31462,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
26095,formation sélective                              ,Formation des écoles de commerce et de management                                                                                                    
22379,formation sélective                              ,Mention complémentaire                                                                                                                               
7721,formation sélective                              ,BTS - Services                                                                                                                                        
8530,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
16784,formation sélective                              ,Formation des écoles de commerce et de management                                                                                                    
23868,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
30538,formation sélective                              ,BTS - Services                                                                                                                                        
8,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
9278,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
18841,formation sélective                              ,BTS - Services                                                                                                                                        
8233,formation sélective                              ,BTS - Production                                                                                                                                      
3689,formation sélective                              ,BTS - Production                                                                                                                                      
9717,formation sélective                              ,BTS - Production                                                                                                                                      
33212,formation sélective                              ,BTS - Services                                                                                                                                        
24111,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
3452,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
7937,formation sélective                              ,BTS - Production                                                                                                                                      
