eno,fno,capacite_etablissement,effectif_total,dont_effectif_candidates,total_candidats_phase_principale,neo_generaux_principal,neo_generaux_boursier_principal,neo_technologiques_principal,neo_technologiques_boursiers_principal,neo_professionnels_principal,neo_professionnels_boursiers_principal,autre_candidats_principal,total_candidats_complementaire,neo_generaux_complementaire,neo_technologique_complementaire,neo_professionnels_complementaire,autre_candidats_complementaires,total_candidats_admis,dont_candidates_admises,admis_principal,admis_complementaire,admis_proposition_principale,neo_admis,neo_boursiers_admis,neo_admis_generaux,neo_admis_technologiques,neo_admis_professionnels,admis_autres
0751719L,17376,21,126,90,71,28,6,1,1,8,4,34,55,10,1,4,40,21,12,9,12,2.0,4,4,3,0,1,17
0490886X,5903,35,332,208,328,45,3,113,20,90,23,80,4,0,0,2,2,34,20,33,1,6.0,22,5,4,8,10,12
0597132G,7000,35,274,30,207,95,29,54,21,6,4,52,67,8,10,2,47,32,5,23,9,11.0,21,8,14,7,0,11
0342321N,31866,225,6104,4174,6104,4871,867,138,52,18,8,1077,0,0,0,0,0,221,150,221,0,21.0,205,52,205,0,0,16
0921204J,29410,60,818,586,449,311,40,12,3,1,0,125,369,125,30,6,208,58,35,39,19,3.0,33,1,32,1,0,25
0693820C,23730,85,672,545,672,97,11,78,15,39,9,458,0,0,0,0,0,81,65,81,0,49.0,15,2,4,4,7,66
0010819K,2017,32,293,151,269,13,1,42,9,45,17,169,24,8,3,0,13,24,17,20,4,7.0,20,6,2,9,9,4
0271666P,3718,56,469,301,342,203,23,68,17,2,1,69,127,31,29,3,64,51,28,39,12,11.0,38,8,28,10,0,13
9741173G,11951,32,429,108,428,32,12,123,68,197,118,76,1,0,0,0,1,30,11,30,0,16.0,29,18,1,13,15,1
0711494N,28239,15,421,76,350,26,5,28,9,14,3,282,71,3,10,11,47,12,1,4,8,0.0,6,2,0,3,3,6
0142182W,22725,110,1917,374,1917,1916,87,0,0,0,0,1,0,0,0,0,0,99,22,99,0,62.0,99,5,99,0,0,0
0691774D,27052,30,2601,2049,2601,1255,299,117,37,5,1,1224,0,0,0,0,0,28,24,28,0,0.0,14,8,10,4,0,14
0100735V,2433,32,268,85,266,16,6,58,13,55,12,137,2,0,0,2,0,30,3,30,0,11.0,24,5,1,11,12,6
0932019P,33152,60,195,48,155,77,12,13,1,2,1,63,40,11,3,1,25,27,4,25,2,25.0,17,3,16,1,0,10
0100059K,2419,16,94,18,84,6,1,20,5,8,1,50,10,0,2,1,7,2,0,2,0,2.0,2,0,1,0,1,0
0850130E,10497,18,275,208,275,78,12,78,18,14,5,105,0,0,0,0,0,17,15,17,0,1.0,15,2,8,6,1,2
0751719L,24139,150,673,534,575,311,52,21,5,1,0,242,98,35,6,2,55,150,111,104,46,43.0,74,19,67,6,1,76
0300021K,3930,48,695,434,660,471,51,0,0,1,0,188,35,13,0,0,22,28,17,26,2,6.0,26,4,26,0,0,2
0211139Z,3240,78,1663,493,1663,793,113,390,83,28,6,452,0,0,0,0,0,86,11,86,0,40.0,70,20,35,35,0,16
0290334F,3836,76,1194,101,1194,717,54,319,44,3,1,155,0,0,0,0,0,75,4,75,0,4.0,67,10,39,27,1,8
0520685M,6178,20,386,173,373,12,3,26,6,13,2,322,13,1,1,0,11,10,4,8,1,5.0,7,2,2,4,1,3
0840607D,32631,16,82,34,71,9,3,21,4,12,5,29,11,2,3,1,5,8,3,5,3,3.0,7,0,1,4,2,1
9710002A,11731,31,234,120,211,58,24,65,39,39,27,49,23,0,7,6,10,24,10,17,5,6.0,22,14,4,11,7,2
0440984F,32045,18,446,198,432,298,33,8,2,0,0,126,14,2,0,0,12,16,6,13,3,0.0,8,1,8,0,0,8
0133288D,2799,35,1077,577,1067,104,38,410,194,319,168,234,10,0,3,0,7,31,14,31,0,2.0,24,7,7,7,10,7
0921204J,24462,105,1590,934,1590,1274,198,34,11,6,2,276,0,0,0,0,0,104,68,104,0,22.0,89,18,89,0,0,15
0330135T,19596,24,125,69,125,0,0,122,23,0,0,3,0,0,0,0,0,22,10,22,0,7.0,21,4,0,21,0,1
0940580V,11363,45,735,147,735,625,63,6,4,0,0,104,0,0,0,0,0,45,9,45,0,1.0,45,9,45,0,0,0
0750671X,9008,24,1153,507,1153,110,40,342,164,262,138,439,0,0,0,0,0,23,12,21,0,0.0,16,10,1,5,10,7
0500016W,5987,48,352,197,346,197,33,2,0,1,1,146,6,1,0,0,5,32,25,32,0,10.0,30,4,30,0,0,2
0142133T,2934,12,201,26,201,19,3,44,9,107,22,31,0,0,0,0,0,12,1,12,0,2.0,12,0,1,3,8,0
0541324W,6315,168,1988,931,1919,1049,185,502,142,17,7,351,69,0,37,0,32,164,89,158,6,27.0,128,28,91,37,0,36
0751717J,9203,25,370,302,370,285,35,9,4,1,0,75,0,0,0,0,0,25,21,25,0,19.0,19,2,19,0,0,6
0760035A,9569,35,487,268,485,33,3,154,44,106,47,192,2,0,0,0,2,32,22,32,0,8.0,31,5,4,12,15,1
0510032H,6060,96,378,253,378,305,51,1,0,0,0,72,0,0,0,0,0,50,34,47,0,22.0,49,6,49,0,0,1
7200073S,11692,25,228,118,216,51,8,77,20,34,13,54,12,1,0,6,5,20,13,19,1,5.0,15,3,5,9,1,5
0133334D,22962,12,299,203,287,85,20,35,9,22,8,145,12,0,0,0,12,6,3,5,1,2.0,3,0,2,0,1,3
0420046X,5299,30,354,37,349,0,0,308,69,0,0,41,5,0,2,0,3,29,1,29,0,7.0,28,10,0,28,0,1
0350709F,16081,15,246,80,246,8,0,70,11,113,49,55,0,0,0,0,0,14,9,14,0,4.0,12,3,0,2,10,2
0640057P,17669,20,312,20,312,49,4,103,32,94,29,66,0,0,0,0,0,20,0,20,0,3.0,18,9,1,7,10,2
0771763Y,9850,35,337,220,311,13,3,87,38,97,26,114,26,0,0,10,16,35,25,31,0,10.0,33,13,3,14,16,2
0133661J,28490,45,980,548,980,460,153,109,63,38,27,373,0,0,0,0,0,38,24,38,0,1.0,27,15,20,5,2,11
0860856N,26569,60,406,309,353,271,66,12,5,4,1,66,53,17,0,2,34,58,42,42,16,42.0,41,12,39,2,0,17
0490072M,30946,165,1329,522,1322,1316,98,0,0,0,0,6,7,7,0,0,0,128,57,125,3,116.0,128,7,128,0,0,0
0341089Z,15197,150,1603,1424,1603,850,192,142,46,50,25,561,0,0,0,0,0,149,137,149,0,30.0,88,28,69,14,5,61
0731383G,18369,15,217,32,174,119,15,2,1,3,2,50,43,10,4,0,29,10,3,10,0,1.0,9,0,9,0,0,1
0221589H,3366,35,284,140,284,55,12,78,11,46,15,105,0,0,0,0,0,30,11,29,0,6.0,22,2,9,9,4,8
0660014G,7856,24,380,38,380,36,14,119,43,93,36,132,0,0,0,0,0,25,2,25,0,5.0,25,10,2,12,11,0
9711052S,32688,12,102,71,80,35,14,24,12,3,0,18,22,10,3,0,9,8,6,6,2,2.0,6,2,2,4,0,2
0831453D,10392,50,472,255,471,0,0,152,27,182,51,137,1,0,0,1,0,48,23,48,0,19.0,33,11,0,10,23,15
0570086J,6546,20,149,38,134,22,4,38,4,16,7,58,15,2,3,0,10,15,0,14,1,4.0,13,2,4,7,2,2
0690195M,12194,46,89,47,63,29,2,9,0,0,0,25,26,11,1,0,14,15,7,12,3,12.0,11,0,9,2,0,4
0912154X,23795,40,95,87,81,12,1,13,4,8,2,48,14,1,1,1,11,35,32,29,6,15.0,14,4,4,5,5,21
0292125C,504,36,1175,468,1150,1143,107,0,0,0,0,7,25,25,0,0,0,18,12,14,4,14.0,18,1,18,0,0,0
0210036A,3202,27,392,157,392,29,1,44,8,55,7,264,0,0,0,0,0,27,16,27,0,8.0,22,2,5,8,9,5
0020060E,2074,17,126,48,126,14,1,35,8,37,8,40,0,0,0,0,0,14,4,14,0,5.0,12,1,0,8,4,2
0597132G,25721,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0.0,5,1,2,1,2,1
0134248X,28593,40,3333,2334,3333,2416,514,118,50,40,21,759,0,0,0,0,0,40,35,40,0,1.0,37,8,34,1,2,3
0790036K,10115,18,354,197,352,5,3,51,13,39,18,257,2,0,0,1,1,17,11,17,0,7.0,11,3,0,7,4,6
0140019V,22583,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,0.0,13,6,0,5,8,0
0134061U,2709,84,585,381,534,259,43,123,46,25,15,127,51,6,11,3,31,69,38,67,2,13.0,45,4,25,19,1,24
0131436R,16128,15,249,21,199,16,4,60,15,54,20,69,50,5,17,0,28,11,0,9,1,5.0,11,1,2,2,7,0
0751719L,9253,20,145,108,133,37,20,8,7,10,8,78,12,1,0,2,9,18,13,15,3,1.0,7,5,3,1,3,11
0572081C,6620,50,292,115,203,132,27,17,5,8,4,46,89,18,12,8,51,42,8,23,19,22.0,25,8,14,7,4,17
0261429M,25251,20,171,159,171,36,8,28,8,14,5,93,0,0,0,0,0,19,18,19,0,3.0,11,2,2,7,2,8
0421095M,5343,60,341,160,301,186,33,27,5,7,4,81,40,4,2,0,34,48,19,40,8,14.0,33,5,30,2,1,15
0942095S,14127,50,1572,276,1572,1567,125,0,0,0,0,5,0,0,0,0,0,66,7,66,0,47.0,66,4,66,0,0,0
0460493L,5752,15,124,8,112,2,0,13,2,43,9,54,12,0,3,7,2,3,0,3,0,0.0,3,1,0,0,3,0
0711896A,16160,18,253,226,249,38,8,67,13,97,36,47,4,0,0,0,4,16,15,15,1,5.0,15,6,1,6,8,1
0572081C,6604,90,321,233,192,121,32,21,9,11,5,39,129,20,13,18,78,74,57,39,35,17.0,43,14,28,4,11,31
9840482B,25798,28,225,138,179,56,22,68,37,17,10,38,46,4,6,10,26,24,15,22,2,5.0,19,5,7,12,0,5
0030051P,2130,12,157,21,157,15,3,30,9,89,18,23,0,0,0,0,0,12,1,12,0,0.0,12,1,2,2,8,0
0941111X,28270,175,2634,1756,2634,1773,354,71,26,1,1,789,0,0,0,0,0,168,103,166,0,0.0,80,33,80,0,0,88
0753488J,29630,10,54,46,44,23,10,2,0,3,3,16,10,4,0,0,6,8,7,7,1,2.0,6,3,5,1,0,2
0352349N,13716,80,114,64,88,79,2,3,0,1,1,5,26,9,1,1,15,24,12,22,2,22.0,22,1,22,0,0,2
0030905T,2145,6,58,4,57,1,0,5,1,24,3,27,1,0,0,0,1,4,0,4,0,1.0,4,0,0,0,4,0
0861408N,10659,24,287,138,279,18,5,45,7,53,18,163,8,0,3,0,5,23,16,21,2,3.0,17,7,1,6,10,6
0690037R,21585,15,887,738,887,381,80,237,42,61,13,208,0,0,0,0,0,16,14,16,0,2.0,15,1,7,8,0,1
0811293R,33080,17,38,28,16,8,1,6,1,1,1,1,22,8,3,2,9,8,8,2,5,2.0,6,1,3,3,0,2
0240023V,3416,16,296,126,294,12,1,22,4,24,9,236,2,0,0,1,1,13,5,13,0,2.0,5,1,2,2,1,8
0782557F,10040,35,1068,554,1068,185,28,401,121,183,64,299,0,0,0,0,0,35,25,35,0,6.0,33,11,4,20,9,2
0101037Y,2438,320,1193,829,960,642,143,116,40,34,11,168,233,81,24,8,120,236,168,190,46,48.0,182,51,147,28,7,54
0331766R,18067,80,805,506,799,471,90,65,12,29,12,234,6,0,0,1,5,81,52,79,2,8.0,57,8,46,9,2,24
0300021K,3927,95,1075,408,1057,839,126,0,0,0,0,218,18,4,0,1,13,84,25,81,3,10.0,72,14,72,0,0,12
0670086E,7946,35,1399,815,1399,438,116,358,127,165,89,438,0,0,0,0,0,31,23,31,0,3.0,25,9,14,6,5,6
0550928K,23188,39,3109,2503,3109,520,104,594,177,297,108,1698,0,0,0,0,0,39,30,39,0,1.0,18,6,5,5,8,21
0692437Z,8521,10,99,61,99,71,11,1,0,3,1,24,0,0,0,0,0,10,7,10,0,1.0,7,0,7,0,0,3
0331766R,4421,220,916,395,734,507,79,48,13,16,3,163,182,46,12,10,114,203,80,139,64,136.0,128,21,105,15,8,75
0560114V,6483,48,349,230,343,273,20,0,0,0,0,70,6,2,0,0,4,17,11,16,1,0.0,17,1,17,0,0,0
0520844K,6180,35,297,247,237,14,1,70,26,56,21,97,60,5,13,18,24,31,27,25,4,3.0,30,9,3,12,15,1
0592967E,19798,24,160,59,124,16,4,37,15,16,7,55,36,1,13,6,16,12,2,7,5,4.0,7,3,0,5,2,5
0311382J,4146,20,97,70,76,61,7,3,0,0,0,12,21,5,0,0,16,9,7,7,2,6.0,9,3,9,0,0,0
0711372F,8663,72,719,46,719,413,34,183,22,5,1,118,0,0,0,0,0,71,3,71,0,12.0,66,12,47,18,1,5
0550842S,23187,90,3323,2672,3323,543,103,653,194,341,124,1786,0,0,0,0,0,96,82,96,0,1.0,50,13,5,32,13,46
0492433D,5885,80,1178,792,1178,811,106,76,7,6,2,285,0,0,0,0,0,78,55,78,0,7.0,62,6,54,8,0,16
0442777E,17419,115,1510,1109,1501,1072,114,145,26,14,5,270,9,1,1,0,7,109,82,107,2,17.0,93,15,83,10,0,16
0690097F,8240,24,720,397,720,137,37,285,126,77,44,221,0,0,0,0,0,22,11,22,0,7.0,20,9,1,14,5,2
0290013G,3772,35,214,113,200,0,0,159,32,0,0,41,14,0,9,0,5,20,14,18,2,1.0,20,3,0,20,0,0
0380083J,21241,12,367,186,367,67,7,143,40,37,13,120,0,0,0,0,0,14,3,13,0,0.0,9,4,1,5,3,5
0383208F,31578,10,145,62,138,126,6,0,0,0,0,12,7,6,0,0,1,10,3,7,3,2.0,9,1,9,0,0,1
0750691U,9105,30,731,22,703,19,1,111,40,408,183,165,28,0,12,0,16,27,1,27,0,8.0,18,7,0,1,17,9
0601910A,32730,30,451,381,451,282,63,69,22,8,1,92,0,0,0,0,0,31,30,31,0,9.0,29,12,24,5,0,2
0782075G,9988,75,556,188,542,350,63,14,3,2,1,176,14,4,1,0,9,73,18,65,8,10.0,44,9,41,2,1,29
0131684K,2669,35,674,476,674,214,39,166,52,52,21,242,0,0,0,0,0,33,27,33,0,10.0,29,7,24,4,1,4
0341089Z,4587,135,612,291,566,332,66,56,15,18,9,160,46,5,2,2,37,139,63,121,18,120.0,85,15,68,14,3,54
0290346U,13599,125,899,806,805,228,39,284,71,28,17,265,94,18,12,6,58,102,87,81,19,5.0,64,17,23,34,7,38
0290335G,3843,30,162,10,159,11,0,45,3,76,8,27,3,0,0,3,0,25,1,24,1,8.0,18,2,0,4,14,7
0492246A,30825,35,181,17,174,122,6,19,4,3,1,30,7,1,1,0,5,15,1,14,1,10.0,14,0,13,0,1,1
0320039U,4252,19,380,131,372,37,5,58,9,24,6,253,8,2,0,1,5,11,2,11,0,3.0,7,2,1,4,2,4
0311382J,4137,90,1131,662,1131,896,133,20,5,6,2,209,0,0,0,0,0,88,59,88,0,13.0,73,9,73,0,0,15
0830165D,10359,163,2696,1301,2662,1497,295,665,232,34,18,466,34,0,17,0,17,147,75,144,3,18.0,141,45,86,55,0,6
6200002H,11681,15,210,116,205,37,7,66,15,53,16,49,5,0,2,0,3,13,6,11,1,4.0,13,3,3,3,7,0
3500192F,378,20,2427,706,2427,1997,188,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
0772292Y,9883,24,356,57,347,23,9,97,33,70,26,157,9,0,0,4,5,23,3,22,0,3.0,11,5,0,3,8,12
0781944P,10008,58,320,144,181,126,15,12,1,1,1,42,139,40,9,5,85,51,23,24,27,6.0,31,5,23,3,5,20
0442569D,23202,66,4337,3696,4337,864,134,711,133,551,165,2211,0,0,0,0,0,65,58,65,0,0.0,34,8,15,12,7,31
0383546Y,31067,65,292,137,258,168,31,20,6,4,0,66,34,9,2,1,22,48,18,39,9,24.0,25,4,22,1,2,23
0731383G,21258,16,72,15,43,27,3,5,1,4,0,7,29,10,6,4,9,14,3,6,8,5.0,11,1,7,2,2,3
0851415B,17423,40,69,45,67,59,3,0,0,0,0,8,2,0,2,0,0,10,8,10,0,8.0,8,0,8,0,0,2
0910843X,10892,32,296,115,179,18,7,64,17,25,15,72,117,0,45,28,44,25,5,20,5,4.0,15,5,0,11,4,10
0941111X,28279,25,215,107,215,115,34,13,6,4,0,83,0,0,0,0,0,23,13,23,0,7.0,11,5,6,5,0,12
0511884W,6148,14,156,21,156,10,3,31,8,69,20,46,0,0,0,0,0,11,1,11,0,1.0,8,3,1,1,6,3
0110669T,2464,27,205,66,194,46,5,63,17,35,10,50,11,2,3,0,6,22,7,20,2,8.0,13,5,5,3,5,9
0492137G,27736,10,66,37,62,42,7,6,2,2,0,12,4,3,0,0,1,9,6,9,0,1.0,7,1,7,0,0,2
0290346U,3857,120,857,650,650,403,85,63,13,12,5,172,207,47,28,9,123,110,77,57,53,25.0,58,9,41,15,2,52
0597065J,7093,120,793,478,585,357,118,40,17,10,5,178,208,33,19,6,150,113,62,61,52,31.0,53,25,43,7,3,60
0710026T,8630,15,77,1,77,2,1,27,2,31,8,17,0,0,0,0,0,13,1,13,0,7.0,13,5,0,5,8,0
0830058M,21227,30,66,4,49,3,0,0,0,40,10,6,17,3,2,6,6,14,0,11,3,10.0,13,1,0,1,12,1
0510034K,6065,48,267,144,229,0,0,180,53,0,0,49,38,0,27,0,11,36,20,33,3,6.0,29,11,0,29,0,7
0300125Y,3973,15,98,12,95,8,1,41,11,18,9,28,3,0,0,0,3,11,0,11,0,5.0,8,5,1,7,0,3
0280036M,3735,16,113,59,89,9,5,26,7,21,5,33,24,0,9,2,13,12,8,7,1,2.0,6,1,2,1,3,6
9741204R,11966,120,255,57,194,75,32,65,29,3,1,51,61,10,7,5,39,84,13,46,38,27.0,43,21,29,9,5,41
0080008R,2363,24,106,23,71,9,2,24,10,24,13,14,35,1,17,3,14,21,3,10,10,7.0,14,4,1,11,2,7
0161002C,3003,80,182,92,179,29,5,10,1,22,7,118,3,0,0,1,2,22,18,22,0,22.0,14,3,7,2,5,8
0350028R,4639,35,771,352,729,316,52,200,57,13,6,200,42,2,10,1,29,26,10,23,3,3.0,17,6,3,14,0,9
0590064Z,6740,35,622,307,622,131,34,106,53,44,24,341,0,0,0,0,0,33,15,33,0,0.0,24,11,14,6,4,9
0731487V,8837,26,623,92,623,402,29,109,12,0,0,112,0,0,0,0,0,26,2,26,0,5.0,24,2,15,9,0,2
0660552S,29809,24,202,132,135,23,6,33,3,3,2,76,67,24,13,2,28,27,17,13,14,3.0,22,6,14,8,0,5
9710690Y,33872,24,36,7,24,3,0,3,3,12,8,6,12,1,2,7,2,12,1,6,6,5.0,12,8,0,1,11,0
0691774D,27057,150,4802,3407,4802,2983,541,161,51,6,2,1652,0,0,0,0,0,153,106,151,0,4.0,87,12,87,0,0,66
0342321N,31266,60,536,265,527,339,65,16,1,2,1,170,9,1,1,0,7,61,24,59,2,59.0,55,8,54,1,0,6
0753844W,21771,18,299,171,299,126,10,54,8,22,4,97,0,0,0,0,0,18,10,18,0,4.0,8,1,2,5,1,10
0690519P,31230,5,74,6,74,0,0,74,23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
0370037P,4832,36,1435,728,1418,192,43,573,175,317,128,336,17,0,0,13,4,33,19,28,5,3.0,28,8,6,11,11,5
0671609K,31664,28,265,133,261,228,10,0,0,1,0,32,4,1,0,0,3,10,3,10,0,2.0,10,1,10,0,0,0
0370749N,25313,15,324,264,324,101,11,94,18,50,9,79,0,0,0,0,0,17,17,17,0,3.0,9,0,5,3,1,8
9740575G,20380,37,684,381,593,31,11,233,136,210,150,119,91,0,52,5,34,33,15,22,11,6.0,28,24,0,10,18,5
9740002J,11890,30,737,549,666,149,68,261,162,37,27,219,71,1,27,0,43,28,22,26,2,6.0,22,12,1,19,2,6
0060673Z,2237,36,803,227,803,700,57,2,1,0,0,101,0,0,0,0,0,39,8,39,0,3.0,38,1,38,0,0,1
0751717J,9196,122,2532,1473,2532,1604,225,74,10,32,10,822,0,0,0,0,0,123,82,123,0,19.0,98,13,93,3,2,25
0460010L,5744,12,65,5,55,6,1,14,3,30,15,5,10,0,3,6,1,11,1,10,1,2.0,10,4,2,1,7,1
0572341K,16963,5,18,8,15,1,0,9,0,0,0,5,3,0,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
0861273S,20803,1200,757,432,626,62,12,91,34,86,41,387,131,6,23,20,82,132,79,80,52,78.0,52,17,16,17,19,80
0801888T,10251,36,120,57,114,0,0,25,1,53,19,36,6,0,0,1,5,29,14,29,0,24.0,11,3,0,4,7,18
0595657D,25035,18,295,141,295,120,27,47,9,31,8,97,0,0,0,0,0,17,10,17,0,0.0,13,4,9,2,2,4
0790706N,25396,16,258,168,255,62,11,76,13,30,9,87,3,2,0,0,1,17,12,17,0,0.0,14,2,6,5,3,3
0592965C,6921,36,440,218,346,40,19,76,35,53,29,177,94,12,19,0,63,28,13,19,9,12.0,17,5,7,5,5,11
0782562L,31397,24,1950,939,1950,1789,102,2,0,0,0,159,0,0,0,0,0,24,10,24,0,0.0,22,0,22,0,0,2
0350936C,28719,40,721,342,686,515,63,12,4,5,4,154,35,10,2,0,23,34,11,28,6,0.0,27,4,25,1,1,7
0511556P,24903,50,271,219,271,51,11,45,8,26,3,149,0,0,0,0,0,47,36,47,0,32.0,15,2,8,4,3,32
0130006L,2535,24,1616,880,1616,198,42,573,213,506,252,339,0,0,0,0,0,23,9,23,0,0.0,21,6,5,8,8,2
0332344U,33865,12,28,7,24,1,0,4,1,16,8,3,4,0,0,2,2,2,0,2,0,2.0,2,1,0,0,2,0
0251215K,3547,80,200,167,174,121,37,9,3,5,3,39,26,5,6,2,13,22,19,20,2,19.0,19,6,14,3,2,3
0940123Y,11402,35,1122,524,1122,50,21,349,142,416,203,307,0,0,0,0,0,35,19,35,0,5.0,27,16,5,6,16,8
0921619K,27144,10,81,22,65,13,1,15,2,16,6,21,16,6,2,1,7,6,1,3,2,2.0,3,0,2,0,1,3
0572694U,23190,62,3390,2732,3390,618,140,650,196,338,113,1784,0,0,0,0,0,70,57,70,0,3.0,48,7,10,17,21,22
9741231V,11976,15,403,284,403,119,50,132,79,13,7,139,0,0,0,0,0,16,12,16,0,2.0,15,6,9,6,0,1
0061715G,26115,60,2029,858,1995,1699,66,126,10,5,2,165,34,11,6,0,17,43,20,36,7,20.0,34,2,27,7,0,9
0421822C,23236,60,3149,2634,3149,537,110,677,185,255,103,1680,0,0,0,0,0,62,55,62,0,2.0,37,12,13,14,10,25
0383546Y,19207,32,276,204,241,135,16,1,0,0,0,105,35,2,1,0,32,21,21,21,0,4.0,14,1,14,0,0,7
0622196A,12452,30,16,4,15,0,0,2,1,12,2,1,1,0,0,1,0,4,1,3,1,3.0,4,1,0,0,4,0
0660010C,7848,35,788,390,786,75,29,164,69,111,69,436,2,0,1,0,1,30,16,30,0,14.0,28,18,4,13,11,2
0690539L,18899,25,1046,611,998,286,46,254,54,183,42,275,48,7,14,5,22,22,11,16,6,1.0,15,3,5,5,5,7
0071126L,2341,30,517,354,420,115,20,120,24,15,3,170,97,31,22,0,44,21,14,16,5,2.0,19,0,16,2,1,2
0220117H,18788,15,123,6,119,2,1,13,1,87,16,17,4,0,0,0,4,14,0,12,1,5.0,13,5,0,2,11,1
0830032J,10334,22,255,29,255,24,5,68,28,65,29,98,0,0,0,0,0,21,0,21,0,5.0,20,4,4,8,8,1
0601826J,7269,31,543,300,463,123,27,127,43,53,22,160,80,0,0,49,31,28,15,27,1,5.0,25,10,12,10,3,3
0762964J,9759,30,457,71,455,50,11,126,37,103,47,176,2,0,0,2,0,25,4,25,0,4.0,21,8,3,10,8,4
0760058A,9579,48,380,95,339,207,24,2,1,0,0,130,41,15,1,0,25,24,5,20,4,4.0,18,0,18,0,0,6
0762047M,32798,153,2972,1997,2972,2295,375,102,32,24,8,551,0,0,0,0,0,151,94,151,0,8.0,145,23,144,1,0,6
0590184E,6817,13,993,254,993,372,65,104,26,78,30,439,0,0,0,0,0,13,5,13,0,5.0,8,0,8,0,0,5
0640010N,7692,12,817,122,817,290,39,123,26,87,27,317,0,0,0,0,0,12,2,12,0,1.0,6,1,4,0,2,6
1380022Z,25295,24,3855,3261,3855,626,127,537,154,326,129,2366,0,0,0,0,0,23,22,23,0,2.0,13,4,9,3,1,10
0540042C,24215,15,492,396,492,224,29,99,14,35,10,134,0,0,0,0,0,15,15,15,0,6.0,15,5,11,4,0,0
0450855K,24140,120,976,636,976,573,138,82,31,34,14,287,0,0,0,0,0,118,77,118,0,36.0,97,20,82,12,3,21
0761315S,9636,14,132,81,125,11,1,30,5,9,3,75,7,1,0,3,3,12,10,9,3,2.0,8,3,3,4,1,4
0753488J,9404,25,75,45,23,7,3,2,1,0,0,14,52,3,5,2,42,14,10,6,8,6.0,4,3,1,3,0,10
0761719F,9668,35,384,212,384,65,12,83,29,43,21,193,0,0,0,0,0,23,11,23,0,4.0,10,6,2,5,3,13
0500127S,6017,35,262,173,239,58,12,41,6,26,7,114,23,7,5,3,8,18,14,13,5,4.0,11,2,6,3,2,7
0490970N,5928,220,1409,1099,1358,968,194,131,50,25,8,234,51,10,4,1,36,213,152,197,16,97.0,157,39,136,13,8,56
0801272Y,10181,34,505,297,445,103,16,80,15,24,7,238,60,6,17,6,31,25,17,20,4,3.0,20,2,15,4,1,5
0280706R,3742,18,123,43,114,15,2,41,7,32,8,26,9,2,1,3,3,5,2,5,0,1.0,3,1,1,0,2,2
0751719L,24056,14,55,43,43,33,5,3,0,0,0,7,12,3,1,0,8,14,11,8,6,1.0,10,2,9,1,0,4
0673021V,34332,45,171,100,144,121,19,2,2,2,0,19,27,11,2,2,12,25,12,21,3,2.0,20,2,20,0,0,5
0333298F,30788,30,4785,3049,4785,3948,493,64,17,11,4,762,0,0,0,0,0,30,17,30,0,0.0,27,5,27,0,0,3
0220116G,3345,35,589,497,573,183,16,148,19,37,8,205,16,1,0,1,14,31,27,31,0,6.0,18,3,13,3,2,13
0830042V,10335,24,222,149,208,15,5,59,23,62,32,72,14,7,0,0,7,15,12,14,1,6.0,12,5,2,3,7,3
0590063Y,6735,48,1314,533,1314,782,111,1,1,0,0,531,0,0,0,0,0,44,13,44,0,17.0,44,6,44,0,0,0
0440984F,32032,85,624,423,564,338,48,11,5,1,1,214,60,17,3,0,40,61,35,38,23,6.0,29,7,27,2,0,32
0931391G,27221,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,28,0,0,0.0,38,17,20,13,5,0
0950651S,11582,35,515,328,505,25,8,151,63,162,70,167,10,1,0,0,9,40,26,39,1,8.0,28,7,2,13,13,12
0754666P,14618,32,1067,751,973,247,27,329,66,53,16,344,94,0,0,44,50,28,20,27,1,10.0,19,4,15,4,0,9
0772910V,17333,70,1656,1193,1656,1404,181,12,6,0,0,240,0,0,0,0,0,70,61,70,0,28.0,55,5,54,1,0,15
0750686N,9086,30,688,495,677,161,27,66,21,101,33,349,11,4,0,0,7,28,23,27,1,6.0,13,2,3,6,4,15
9720615L,16278,25,140,82,128,28,8,35,18,31,18,34,12,0,3,4,5,15,8,13,2,7.0,12,7,3,5,4,3
0560051B,6437,28,242,27,240,24,4,51,12,65,20,100,2,0,2,0,0,26,2,26,0,6.0,19,3,5,1,13,7
0510035L,6079,35,594,379,594,56,19,193,77,170,84,175,0,0,0,0,0,34,23,34,0,3.0,32,13,8,7,17,2
0932047V,11330,12,665,228,665,203,30,71,23,128,46,263,0,0,0,0,0,12,6,12,0,4.0,10,2,6,1,3,2
9720616M,11822,24,107,44,100,9,2,6,2,20,9,65,7,1,0,3,3,7,4,6,1,5.0,7,3,3,0,4,0
0492180D,5978,240,1742,482,1742,1229,118,224,35,31,8,258,0,0,0,0,0,260,82,258,0,99.0,230,27,197,31,2,30
0060674A,2241,28,205,102,185,38,8,59,9,33,12,55,20,5,1,0,14,17,6,15,2,4.0,11,0,3,6,2,6
