eno,fno,capacite_etablissement,effectif_total,dont_effectif_candidates,total_candidats_phase_principale,neo_generaux_principal,neo_generaux_boursier_principal,neo_technologiques_principal,neo_technologiques_boursiers_principal,neo_professionnels_principal,neo_professionnels_boursiers_principal,autre_candidats_principal,total_candidats_complementaire,neo_generaux_complementaire,neo_technologique_complementaire,neo_professionnels_complementaire,autre_candidats_complementaires,total_candidats_admis,dont_candidates_admises,admis_principal,admis_complementaire,admis_proposition_principale,neo_admis,neo_boursiers_admis,neo_admis_generaux,neo_admis_technologiques,neo_admis_professionnels,admis_autres
0951722F,11615,40,605,455,605,79,31,208,96,9,4,309,0,0,0,0,0,40,26,40,0,7.0,23,8,12,11,0,17
0131398Z,2637,32,479,282,380,62,26,118,60,63,40,137,99,8,12,22,57,20,13,15,5,4.0,14,8,4,4,6,6
0941934S,22902,16,204,18,204,0,0,204,59,0,0,0,0,0,0,0,0,23,2,23,0,19.0,23,3,0,23,0,0
0420957M,5312,99,2551,1455,2548,1376,200,799,211,20,6,353,3,0,3,0,0,108,72,108,0,33.0,96,24,55,41,0,12
0750711R,9183,24,495,48,414,17,6,120,53,172,89,105,81,37,0,0,44,24,1,22,1,2.0,22,12,2,7,13,2
0333269Z,3,68,4299,1453,4299,4165,362,0,0,0,0,134,0,0,0,0,0,72,28,72,0,36.0,69,8,69,0,0,3
0620215X,32541,15,57,28,57,18,6,13,6,10,7,16,0,0,0,0,0,15,6,15,0,2.0,12,7,3,6,3,3
0130072H,22349,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0,4,3,0,0,4,1
0870669E,10702,290,999,467,853,611,146,81,19,19,12,142,146,25,24,13,84,171,70,122,49,121.0,118,39,84,19,15,53
0330089T,21505,15,100,3,100,0,0,1,0,84,19,15,0,0,0,0,0,12,1,12,0,3.0,10,3,0,0,10,2
0341089Z,4563,220,1781,1325,1758,1264,412,77,34,34,20,383,23,2,2,2,17,215,149,203,12,39.0,150,53,135,13,2,65
0763470J,28526,38,1170,740,1170,869,156,26,11,4,2,271,0,0,0,0,0,38,28,38,0,3.0,38,8,37,0,1,0
0800011C,10161,35,547,482,547,43,13,159,41,202,75,143,0,0,0,0,0,26,23,26,0,4.0,19,8,2,6,11,7
0440984F,32041,36,1454,1004,1454,913,130,29,11,1,0,511,0,0,0,0,0,32,23,32,0,0.0,26,6,26,0,0,6
0383546Y,5067,30,26,15,15,8,2,2,1,1,0,4,11,3,0,0,8,1,0,1,0,1.0,1,0,1,0,0,0
0770931U,9806,28,423,280,423,17,5,136,45,113,42,157,0,0,0,0,0,26,18,26,0,9.0,19,8,0,8,11,7
0382541F,24879,40,353,283,353,55,8,42,3,33,5,223,0,0,0,0,0,40,36,40,0,14.0,12,2,4,5,3,28
0750682J,31872,48,946,470,900,777,145,0,0,2,1,121,46,24,1,1,20,20,5,18,2,0.0,16,3,16,0,0,4
